tau,mean_loss_db,mean_active_ratio,mean_inactive_ratio
0.16,0.028387552402082978,0.8371148003472223,0.1628851996527777
0.2,0.1847570493416022,0.7161512586805555,0.28384874131944454
0.22,0.23556898168418647,0.6833767361111113,0.3166232638888888
0.24,0.2774744678796184,0.661452907986111,0.33854709201388894
0.26,0.3090675033316786,0.647705078125,0.352294921875
0.28,0.32805861852443385,0.6400227864583333,0.3599772135416666
0.32,0.33973529147597237,0.6345757378472222,0.36542426215277785
